merchant_id,merchant_name,merchant_category,city,state
MER0043,MSEB Inc,Utilities,Bengaluru,Karnataka
MER0044,Croma LLC,Electronics,Kolkata,West Bengal
MER0045,IRCTC LLC,Travel,Lucknow,Uttar Pradesh
MER0046,Bharat Petroleum LLC,Fuel,Chennai,Tamil Nadu
MER0047,BESCOM Ltd,Utilities,Pune,Maharashtra
MER0048,BookMyShow Group,Entertainment,Kolkata,West Bengal
MER0049,McDonald's PLC,Restaurant,New Delhi,Delhi
MER0050,Yatra Group,Travel,Hyderabad,Telangana
MER0051,Fortis Hospital PLC,Healthcare,New Delhi,Delhi
MER0052,Yatra LLC,Travel,Pune,Maharashtra
MER0053,Swiggy Ltd,Food Delivery,Pune,Maharashtra
MER0054,Croma PLC,Electronics,Lucknow,Uttar Pradesh
MER0055,MakeMyTrip LLC,Travel,Lucknow,Uttar Pradesh
MER0056,Swiggy PLC,Food Delivery,Pune,Maharashtra
MER0057,Reliance Fresh and Sons,Grocery,Pune,Maharashtra
MER0058,More Ltd,Grocery,Pune,Maharashtra
MER0059,PVR Cinemas Inc,Entertainment,Kolkata,West Bengal
MER0060,Subway Ltd,Restaurant,Lucknow,Uttar Pradesh
MER0061,Airtel and Sons,Utilities,Hyderabad,Telangana
MER0062,Netflix LLC,Entertainment,Hyderabad,Telangana
MER0063,Indian Oil Inc,Fuel,Jaipur,Rajasthan
MER0064,Reliance Digital and Sons,Electronics,Jaipur,Rajasthan
MER0065,BookMyShow Inc,Entertainment,Pune,Maharashtra
MER0066,Star Bazaar Group,Grocery,Ahmedabad,Gujarat
MER0067,HP Petrol Pump LLC,Fuel,Hyderabad,Telangana
MER0068,Zomato Group,Food Delivery,Bengaluru,Karnataka
MER0069,MedPlus Ltd,Healthcare,Chennai,Tamil Nadu
MER0070,PVR Cinemas LLC,Entertainment,Pune,Maharashtra
MER0071,Nature's Basket LLC,Grocery,Kolkata,West Bengal
MER0072,Burger King and Sons,Restaurant,New Delhi,Delhi
MER0073,PVR Cinemas Ltd,Entertainment,Jaipur,Rajasthan
MER0074,Reliance Fresh LLC,Grocery,Jaipur,Rajasthan
MER0075,Star Bazaar Ltd,Grocery,Chennai,Tamil Nadu
MER0076,INOX Ltd,Entertainment,Jaipur,Rajasthan
MER0077,Yatra Ltd,Travel,Bengaluru,Karnataka
MER0078,Big Bazaar PLC,Grocery,Kolkata,West Bengal
MER0079,Nature's Basket Ltd,Grocery,Ahmedabad,Gujarat
MER0080,DMart and Sons,Grocery,Lucknow,Uttar Pradesh
MER0081,Spotify PLC,Entertainment,Kolkata,West Bengal
MER0082,Domino's Ltd,Restaurant,Kolkata,West Bengal
MER0083,HP Petrol Pump and Sons,Fuel,Pune,Maharashtra
MER0084,BESCOM and Sons,Utilities,Hyderabad,Telangana
MER0085,Swiggy Group,Food Delivery,Lucknow,Uttar Pradesh
MER0086,Shell LLC,Fuel,Lucknow,Uttar Pradesh
