card_id,account_id,customer_id,card_number_masked,card_type,network,issue_date,expiry_date,credit_limit,available_limit,card_status
CARD000038,ACC000021,CUST000494,XXXX-XXXX-XXXX-4770,Debit,RuPay,2021-04-20,2026-04-20,0,0.0,Active
CARD000039,ACC000021,CUST000494,XXXX-XXXX-XXXX-4750,Credit,Visa,2021-06-02,2026-06-02,50000,25225.57,Active
CARD000040,ACC000022,CUST000461,XXXX-XXXX-XXXX-6413,Debit,Visa,2021-08-05,2026-08-05,0,0.0,Active
CARD000041,ACC000022,CUST000461,XXXX-XXXX-XXXX-9834,Credit,Visa,2021-11-25,2026-11-25,200000,106343.11,Active
CARD000042,ACC000023,CUST000113,XXXX-XXXX-XXXX-8744,Debit,Visa,2019-09-27,2024-09-27,0,0.0,Active
CARD000043,ACC000023,CUST000113,XXXX-XXXX-XXXX-8062,Credit,Mastercard,2019-11-17,2024-11-17,500000,433356.53,Active
CARD000044,ACC000024,CUST000264,XXXX-XXXX-XXXX-1887,Debit,RuPay,2021-06-10,2026-06-10,0,0.0,Active
CARD000045,ACC000025,CUST000243,XXXX-XXXX-XXXX-2612,Debit,Visa,2023-08-15,2028-08-15,0,0.0,Active
CARD000046,ACC000025,CUST000243,XXXX-XXXX-XXXX-5073,Credit,Visa,2023-10-19,2028-10-19,200000,87917.05,Active
CARD000047,ACC000026,CUST000211,XXXX-XXXX-XXXX-3296,Debit,Mastercard,2020-02-22,2025-02-22,0,0.0,Active
CARD000048,ACC000026,CUST000211,XXXX-XXXX-XXXX-8260,Credit,RuPay,2020-04-16,2025-04-16,500000,412567.74,Active
CARD000049,ACC000027,CUST000128,XXXX-XXXX-XXXX-9856,Debit,Visa,2020-08-17,2025-08-17,0,0.0,Blocked
CARD000050,ACC000027,CUST000128,XXXX-XXXX-XXXX-8886,Credit,Visa,2021-05-02,2026-05-02,100000,88358.22,Active
CARD000051,ACC000028,CUST000039,XXXX-XXXX-XXXX-1960,Debit,Visa,2020-03-05,2025-03-05,0,0.0,Active
CARD000052,ACC000028,CUST000039,XXXX-XXXX-XXXX-5673,Credit,Mastercard,2020-10-25,2025-10-25,500000,407178.93,Active
CARD000053,ACC000029,CUST000048,XXXX-XXXX-XXXX-8973,Debit,Visa,2020-12-05,2025-12-05,0,0.0,Active
CARD000054,ACC000029,CUST000048,XXXX-XXXX-XXXX-9883,Credit,Visa,2021-10-04,2026-10-04,100000,32190.34,Active
CARD000055,ACC000030,CUST000031,XXXX-XXXX-XXXX-1821,Debit,RuPay,2023-05-20,2028-05-20,0,0.0,Active
CARD000056,ACC000031,CUST000357,XXXX-XXXX-XXXX-9701,Debit,Visa,2024-07-15,2029-07-15,0,0.0,Active
CARD000057,ACC000031,CUST000357,XXXX-XXXX-XXXX-2113,Credit,RuPay,2024-08-20,2029-08-20,50000,20203.01,Active
CARD000058,ACC000032,CUST000377,XXXX-XXXX-XXXX-2964,Debit,RuPay,2019-09-04,2024-09-04,0,0.0,Active
CARD000059,ACC000032,CUST000377,XXXX-XXXX-XXXX-9565,Credit,Mastercard,2020-04-23,2025-04-23,50000,28321.65,Active
CARD000060,ACC000033,CUST000081,XXXX-XXXX-XXXX-6147,Debit,Visa,2021-02-06,2026-02-06,0,0.0,Active
CARD000061,ACC000033,CUST000081,XXXX-XXXX-XXXX-8491,Credit,Mastercard,2021-08-02,2026-08-02,100000,52981.68,Active
CARD000062,ACC000034,CUST000062,XXXX-XXXX-XXXX-2188,Debit,Visa,2019-07-11,2024-07-11,0,0.0,Active
CARD000063,ACC000034,CUST000062,XXXX-XXXX-XXXX-9288,Credit,Mastercard,2019-10-29,2024-10-29,50000,47435.87,Active
CARD000064,ACC000035,CUST000162,XXXX-XXXX-XXXX-2127,Debit,Visa,2022-07-21,2027-07-21,0,0.0,Active
CARD000065,ACC000035,CUST000162,XXXX-XXXX-XXXX-5956,Credit,RuPay,2023-05-14,2028-05-14,100000,69327.08,Expired
CARD000066,ACC000036,CUST000235,XXXX-XXXX-XXXX-9666,Debit,Visa,2019-11-19,2024-11-19,0,0.0,Active
CARD000067,ACC000037,CUST000038,XXXX-XXXX-XXXX-5905,Debit,RuPay,2020-07-13,2025-07-13,0,0.0,Active
CARD000068,ACC000037,CUST000038,XXXX-XXXX-XXXX-3546,Credit,Mastercard,2020-09-18,2025-09-18,100000,81487.39,Active
CARD000069,ACC000038,CUST000081,XXXX-XXXX-XXXX-6617,Debit,Visa,2022-05-30,2027-05-30,0,0.0,Active
CARD000070,ACC000038,CUST000081,XXXX-XXXX-XXXX-1832,Credit,Visa,2022-10-29,2027-10-29,200000,129242.73,Active
CARD000071,ACC000039,CUST000342,XXXX-XXXX-XXXX-5533,Debit,Visa,2020-03-26,2025-03-26,0,0.0,Active
CARD000072,ACC000039,CUST000342,XXXX-XXXX-XXXX-3647,Credit,RuPay,2020-08-11,2025-08-11,100000,55402.06,Active
CARD000073,ACC000040,CUST000080,XXXX-XXXX-XXXX-8007,Debit,RuPay,2022-11-27,2027-11-27,0,0.0,Active
CARD000074,ACC000040,CUST000080,XXXX-XXXX-XXXX-9938,Credit,Visa,2023-02-19,2028-02-19,50000,16923.22,Active
CARD000075,ACC000041,CUST000129,XXXX-XXXX-XXXX-3426,Debit,Mastercard,2020-02-01,2025-02-01,0,0.0,Active
CARD000076,ACC000041,CUST000129,XXXX-XXXX-XXXX-6862,Credit,Visa,2020-03-04,2025-03-04,200000,148948.79,Active
CARD000077,ACC000042,CUST000067,XXXX-XXXX-XXXX-2684,Debit,Mastercard,2024-01-05,2029-01-05,0,0.0,Active
CARD000078,ACC000042,CUST000067,XXXX-XXXX-XXXX-4878,Credit,Visa,2024-04-02,2029-04-02,500000,159157.04,Blocked
CARD000079,ACC000043,CUST000484,XXXX-XXXX-XXXX-3900,Debit,Mastercard,2019-06-22,2024-06-22,0,0.0,Active
CARD000080,ACC000043,CUST000484,XXXX-XXXX-XXXX-5065,Credit,Mastercard,2020-01-23,2025-01-23,200000,90465.89,Active
CARD000081,ACC000044,CUST000158,XXXX-XXXX-XXXX-2771,Debit,Mastercard,2019-07-05,2024-07-05,0,0.0,Active
CARD000082,ACC000044,CUST000158,XXXX-XXXX-XXXX-6728,Credit,Mastercard,2020-03-04,2025-03-04,500000,422148.2,Active
CARD000083,ACC000045,CUST000400,XXXX-XXXX-XXXX-4728,Debit,Visa,2020-10-22,2025-10-22,0,0.0,Active
CARD000084,ACC000046,CUST000452,XXXX-XXXX-XXXX-7528,Debit,Mastercard,2022-09-28,2027-09-28,0,0.0,Active
CARD000085,ACC000046,CUST000452,XXXX-XXXX-XXXX-6753,Credit,RuPay,2023-03-13,2028-03-13,50000,16158.88,Active
CARD000086,ACC000047,CUST000137,XXXX-XXXX-XXXX-9785,Debit,Mastercard,2023-05-07,2028-05-07,0,0.0,Active
CARD000087,ACC000047,CUST000137,XXXX-XXXX-XXXX-3925,Credit,RuPay,2023-09-26,2028-09-26,50000,19303.66,Blocked
CARD000088,ACC000048,CUST000236,XXXX-XXXX-XXXX-1626,Debit,Visa,2021-07-29,2026-07-29,0,0.0,Active
CARD000089,ACC000048,CUST000236,XXXX-XXXX-XXXX-8149,Credit,RuPay,2022-01-27,2027-01-27,200000,98003.69,Expired
CARD000090,ACC000049,CUST000443,XXXX-XXXX-XXXX-7311,Debit,RuPay,2022-12-12,2027-12-12,0,0.0,Active
CARD000091,ACC000050,CUST000481,XXXX-XXXX-XXXX-8144,Debit,Visa,2021-12-06,2026-12-06,0,0.0,Active
CARD000092,ACC000051,CUST000306,XXXX-XXXX-XXXX-9821,Debit,RuPay,2022-08-02,2027-08-02,0,0.0,Active
CARD000093,ACC000051,CUST000306,XXXX-XXXX-XXXX-6409,Credit,RuPay,2022-09-11,2027-09-11,100000,74504.5,Active
CARD000094,ACC000052,CUST000296,XXXX-XXXX-XXXX-3041,Debit,RuPay,2023-12-19,2028-12-19,0,0.0,Active
CARD000095,ACC000053,CUST000482,XXXX-XXXX-XXXX-6067,Debit,RuPay,2023-02-16,2028-02-16,0,0.0,Active
CARD000096,ACC000053,CUST000482,XXXX-XXXX-XXXX-3085,Credit,Visa,2023-12-10,2028-12-10,500000,255977.06,Active
CARD000097,ACC000054,CUST000161,XXXX-XXXX-XXXX-7211,Debit,RuPay,2022-06-14,2027-06-14,0,0.0,Active
CARD000098,ACC000054,CUST000161,XXXX-XXXX-XXXX-7653,Credit,RuPay,2022-11-15,2027-11-15,100000,56913.96,Active
CARD000099,ACC000055,CUST000152,XXXX-XXXX-XXXX-5700,Debit,Visa,2023-04-11,2028-04-11,0,0.0,Active
CARD000100,ACC000055,CUST000152,XXXX-XXXX-XXXX-4501,Credit,RuPay,2023-12-14,2028-12-14,200000,134901.65,Active
CARD000101,ACC000056,CUST000001,XXXX-XXXX-XXXX-3780,Debit,RuPay,2022-09-09,2027-09-09,0,0.0,Active
CARD000102,ACC000056,CUST000001,XXXX-XXXX-XXXX-6085,Credit,Visa,2023-01-09,2028-01-09,200000,186925.79,Active
CARD000103,ACC000057,CUST000407,XXXX-XXXX-XXXX-1400,Debit,Visa,2020-11-30,2025-11-30,0,0.0,Active
CARD000104,ACC000057,CUST000407,XXXX-XXXX-XXXX-8461,Credit,Mastercard,2021-02-01,2026-02-01,500000,286054.11,Active
CARD000105,ACC000058,CUST000048,XXXX-XXXX-XXXX-4185,Debit,RuPay,2022-07-13,2027-07-13,0,0.0,Active
CARD000106,ACC000058,CUST000048,XXXX-XXXX-XXXX-1090,Credit,Visa,2022-10-08,2027-10-08,500000,360121.5,Active
CARD000107,ACC000059,CUST000244,XXXX-XXXX-XXXX-3881,Debit,RuPay,2024-02-16,2029-02-16,0,0.0,Active
CARD000108,ACC000059,CUST000244,XXXX-XXXX-XXXX-8478,Credit,Visa,2024-05-11,2029-05-11,50000,30490.8,Active
CARD000109,ACC000060,CUST000197,XXXX-XXXX-XXXX-9702,Debit,RuPay,2019-02-13,2024-02-13,0,0.0,Active
CARD000110,ACC000060,CUST000197,XXXX-XXXX-XXXX-7991,Credit,RuPay,2019-11-07,2024-11-07,500000,285571.69,Active
CARD000111,ACC000061,CUST000357,XXXX-XXXX-XXXX-8777,Debit,Mastercard,2021-10-22,2026-10-22,0,0.0,Active
CARD000112,ACC000061,CUST000357,XXXX-XXXX-XXXX-9540,Credit,Mastercard,2022-04-06,2027-04-06,100000,41209.6,Active
CARD000113,ACC000062,CUST000287,XXXX-XXXX-XXXX-8206,Debit,Visa,2023-12-26,2028-12-26,0,0.0,Active
CARD000114,ACC000062,CUST000287,XXXX-XXXX-XXXX-9849,Credit,Visa,2024-06-28,2029-06-28,100000,80979.94,Active
CARD000115,ACC000063,CUST000465,XXXX-XXXX-XXXX-7275,Debit,RuPay,2024-05-05,2029-05-05,0,0.0,Active
CARD000116,ACC000063,CUST000465,XXXX-XXXX-XXXX-6421,Credit,RuPay,2024-12-22,2029-12-22,100000,95503.98,Active
CARD000117,ACC000064,CUST000393,XXXX-XXXX-XXXX-4388,Debit,Mastercard,2021-09-07,2026-09-07,0,0.0,Active
CARD000118,ACC000064,CUST000393,XXXX-XXXX-XXXX-7232,Credit,Mastercard,2022-07-27,2027-07-27,50000,20014.38,Active
CARD000119,ACC000065,CUST000172,XXXX-XXXX-XXXX-5892,Debit,Mastercard,2020-07-31,2025-07-31,0,0.0,Active
CARD000120,ACC000065,CUST000172,XXXX-XXXX-XXXX-4613,Credit,Mastercard,2021-05-25,2026-05-25,500000,311622.8,Active
CARD000121,ACC000066,CUST000033,XXXX-XXXX-XXXX-8956,Debit,Visa,2024-04-05,2029-04-05,0,0.0,Active
CARD000122,ACC000066,CUST000033,XXXX-XXXX-XXXX-3091,Credit,RuPay,2024-12-17,2029-12-17,500000,246536.52,Active
CARD000123,ACC000067,CUST000395,XXXX-XXXX-XXXX-7455,Debit,RuPay,2023-05-07,2028-05-07,0,0.0,Active
CARD000124,ACC000067,CUST000395,XXXX-XXXX-XXXX-3223,Credit,Mastercard,2023-12-13,2028-12-13,50000,47061.84,Active
CARD000125,ACC000068,CUST000437,XXXX-XXXX-XXXX-7211,Debit,Mastercard,2021-06-30,2026-06-30,0,0.0,Active
CARD000126,ACC000068,CUST000437,XXXX-XXXX-XXXX-5558,Credit,Mastercard,2022-02-01,2027-02-01,200000,152749.92,Active
CARD000127,ACC000069,CUST000173,XXXX-XXXX-XXXX-8705,Debit,Visa,2020-11-09,2025-11-09,0,0.0,Active
CARD000128,ACC000070,CUST000465,XXXX-XXXX-XXXX-6733,Debit,Visa,2019-04-23,2024-04-23,0,0.0,Active
CARD000129,ACC000070,CUST000465,XXXX-XXXX-XXXX-4266,Credit,Visa,2019-09-25,2024-09-25,50000,23601.84,Active
CARD000130,ACC000071,CUST000026,XXXX-XXXX-XXXX-3068,Debit,Mastercard,2024-02-13,2029-02-13,0,0.0,Active
CARD000131,ACC000071,CUST000026,XXXX-XXXX-XXXX-7043,Credit,Visa,2024-07-16,2029-07-16,100000,67447.62,Active
CARD000132,ACC000072,CUST000488,XXXX-XXXX-XXXX-2876,Debit,Visa,2020-01-01,2025-01-01,0,0.0,Blocked
CARD000133,ACC000072,CUST000488,XXXX-XXXX-XXXX-7149,Credit,Mastercard,2020-06-08,2025-06-08,50000,29746.03,Blocked
CARD000134,ACC000073,CUST000180,XXXX-XXXX-XXXX-2245,Debit,RuPay,2019-06-20,2024-06-20,0,0.0,Active
CARD000135,ACC000074,CUST000079,XXXX-XXXX-XXXX-4978,Debit,Visa,2020-05-03,2025-05-03,0,0.0,Active
CARD000136,ACC000074,CUST000079,XXXX-XXXX-XXXX-2983,Credit,RuPay,2021-03-16,2026-03-16,200000,80958.95,Active
CARD000137,ACC000075,CUST000189,XXXX-XXXX-XXXX-9728,Debit,Mastercard,2020-04-25,2025-04-25,0,0.0,Active
CARD000138,ACC000075,CUST000189,XXXX-XXXX-XXXX-1207,Credit,Mastercard,2020-11-04,2025-11-04,50000,32291.37,Active
CARD000139,ACC000076,CUST000160,XXXX-XXXX-XXXX-8102,Debit,Mastercard,2023-03-21,2028-03-21,0,0.0,Active
CARD000140,ACC000076,CUST000160,XXXX-XXXX-XXXX-3885,Credit,RuPay,2023-11-25,2028-11-25,500000,252441.97,Active
CARD000141,ACC000077,CUST000426,XXXX-XXXX-XXXX-5425,Debit,RuPay,2022-06-09,2027-06-09,0,0.0,Active
CARD000142,ACC000077,CUST000426,XXXX-XXXX-XXXX-5397,Credit,Mastercard,2023-04-18,2028-04-18,500000,337294.18,Active
CARD000143,ACC000078,CUST000022,XXXX-XXXX-XXXX-2419,Debit,Mastercard,2023-03-24,2028-03-24,0,0.0,Active
CARD000144,ACC000078,CUST000022,XXXX-XXXX-XXXX-7209,Credit,Mastercard,2024-01-13,2029-01-13,100000,47466.66,Active
CARD000145,ACC000079,CUST000422,XXXX-XXXX-XXXX-6325,Debit,Visa,2023-02-19,2028-02-19,0,0.0,Active
CARD000146,ACC000079,CUST000422,XXXX-XXXX-XXXX-5581,Credit,RuPay,2023-08-15,2028-08-15,200000,88303.47,Active
CARD000147,ACC000080,CUST000495,XXXX-XXXX-XXXX-1166,Debit,RuPay,2024-06-11,2029-06-11,0,0.0,Active
CARD000148,ACC000080,CUST000495,XXXX-XXXX-XXXX-9004,Credit,RuPay,2025-01-27,2030-01-27,50000,41552.54,Active
CARD000149,ACC000081,CUST000437,XXXX-XXXX-XXXX-8800,Debit,RuPay,2022-03-10,2027-03-10,0,0.0,Active
CARD000150,ACC000081,CUST000437,XXXX-XXXX-XXXX-5820,Credit,Visa,2022-05-04,2027-05-04,500000,222473.5,Active
CARD000151,ACC000082,CUST000195,XXXX-XXXX-XXXX-6016,Debit,RuPay,2022-08-31,2027-08-31,0,0.0,Active
CARD000152,ACC000082,CUST000195,XXXX-XXXX-XXXX-7971,Credit,RuPay,2023-03-18,2028-03-18,500000,306284.47,Active
CARD000153,ACC000083,CUST000144,XXXX-XXXX-XXXX-8434,Debit,Mastercard,2022-02-16,2027-02-16,0,0.0,Active
CARD000154,ACC000084,CUST000369,XXXX-XXXX-XXXX-2976,Debit,RuPay,2021-09-18,2026-09-18,0,0.0,Active
CARD000155,ACC000084,CUST000369,XXXX-XXXX-XXXX-4138,Credit,Visa,2022-01-13,2027-01-13,50000,23999.16,Active
CARD000156,ACC000085,CUST000048,XXXX-XXXX-XXXX-9595,Debit,RuPay,2021-10-01,2026-10-01,0,0.0,Active
CARD000157,ACC000085,CUST000048,XXXX-XXXX-XXXX-4727,Credit,Mastercard,2022-03-23,2027-03-23,50000,20858.01,Active
CARD000158,ACC000086,CUST000177,XXXX-XXXX-XXXX-9751,Debit,Visa,2022-09-16,2027-09-16,0,0.0,Active
CARD000159,ACC000086,CUST000177,XXXX-XXXX-XXXX-9042,Credit,Visa,2022-12-19,2027-12-19,50000,30632.44,Active
CARD000160,ACC000087,CUST000062,XXXX-XXXX-XXXX-5658,Debit,Mastercard,2021-02-15,2026-02-15,0,0.0,Active
CARD000161,ACC000087,CUST000062,XXXX-XXXX-XXXX-5136,Credit,Mastercard,2021-03-25,2026-03-25,200000,174189.09,Active
CARD000162,ACC000088,CUST000390,XXXX-XXXX-XXXX-7565,Debit,Mastercard,2020-02-18,2025-02-18,0,0.0,Active
CARD000163,ACC000088,CUST000390,XXXX-XXXX-XXXX-5978,Credit,Visa,2020-12-30,2025-12-30,50000,44689.55,Expired
CARD000164,ACC000089,CUST000363,XXXX-XXXX-XXXX-7818,Debit,RuPay,2019-08-15,2024-08-15,0,0.0,Active
CARD000165,ACC000090,CUST000386,XXXX-XXXX-XXXX-4697,Debit,RuPay,2022-03-29,2027-03-29,0,0.0,Active
CARD000166,ACC000090,CUST000386,XXXX-XXXX-XXXX-8025,Credit,Mastercard,2023-02-04,2028-02-04,500000,395926.4,Active
CARD000167,ACC000091,CUST000130,XXXX-XXXX-XXXX-2625,Debit,Visa,2019-09-26,2024-09-26,0,0.0,Active
CARD000168,ACC000091,CUST000130,XXXX-XXXX-XXXX-4929,Credit,Visa,2020-01-13,2025-01-13,200000,107540.06,Active
CARD000169,ACC000092,CUST000078,XXXX-XXXX-XXXX-1043,Debit,Mastercard,2022-06-03,2027-06-03,0,0.0,Active
CARD000170,ACC000092,CUST000078,XXXX-XXXX-XXXX-5720,Credit,RuPay,2022-10-24,2027-10-24,500000,398059.25,Active
CARD000171,ACC000093,CUST000311,XXXX-XXXX-XXXX-8438,Debit,Visa,2024-12-07,2029-12-07,0,0.0,Active
CARD000172,ACC000093,CUST000311,XXXX-XXXX-XXXX-4241,Credit,Mastercard,2025-10-26,2030-10-26,200000,89704.08,Active
CARD000173,ACC000094,CUST000220,XXXX-XXXX-XXXX-3441,Debit,Mastercard,2020-02-18,2025-02-18,0,0.0,Active
CARD000174,ACC000094,CUST000220,XXXX-XXXX-XXXX-5728,Credit,Mastercard,2020-08-16,2025-08-16,50000,47912.67,Active
CARD000175,ACC000095,CUST000123,XXXX-XXXX-XXXX-5982,Debit,RuPay,2019-02-02,2024-02-02,0,0.0,Active
CARD000176,ACC000096,CUST000119,XXXX-XXXX-XXXX-9199,Debit,RuPay,2024-02-11,2029-02-11,0,0.0,Active
CARD000177,ACC000097,CUST000321,XXXX-XXXX-XXXX-1653,Debit,Mastercard,2021-03-23,2026-03-23,0,0.0,Active
CARD000178,ACC000097,CUST000321,XXXX-XXXX-XXXX-1339,Credit,RuPay,2021-08-15,2026-08-15,200000,196378.92,Active
CARD000179,ACC000098,CUST000137,XXXX-XXXX-XXXX-1659,Debit,Visa,2020-11-28,2025-11-28,0,0.0,Active
CARD000180,ACC000098,CUST000137,XXXX-XXXX-XXXX-8141,Credit,RuPay,2021-03-12,2026-03-12,500000,179374.52,Active
CARD000181,ACC000099,CUST000225,XXXX-XXXX-XXXX-8700,Debit,Mastercard,2023-07-09,2028-07-09,0,0.0,Active
CARD000182,ACC000099,CUST000225,XXXX-XXXX-XXXX-6403,Credit,Mastercard,2023-10-27,2028-10-27,200000,106181.31,Active
CARD000183,ACC000100,CUST000021,XXXX-XXXX-XXXX-7561,Debit,RuPay,2021-10-31,2026-10-31,0,0.0,Active
CARD000184,ACC000101,CUST000295,XXXX-XXXX-XXXX-6153,Debit,Mastercard,2022-01-10,2027-01-10,0,0.0,Active
CARD000185,ACC000101,CUST000295,XXXX-XXXX-XXXX-9889,Credit,Mastercard,2022-02-07,2027-02-07,500000,197281.3,Active
CARD000186,ACC000102,CUST000334,XXXX-XXXX-XXXX-9494,Debit,Mastercard,2023-11-27,2028-11-27,0,0.0,Active
CARD000187,ACC000102,CUST000334,XXXX-XXXX-XXXX-4335,Credit,Mastercard,2024-01-16,2029-01-16,500000,281106.94,Active
CARD000188,ACC000103,CUST000165,XXXX-XXXX-XXXX-5719,Debit,Mastercard,2022-10-11,2027-10-11,0,0.0,Active
CARD000189,ACC000103,CUST000165,XXXX-XXXX-XXXX-4920,Credit,RuPay,2023-08-30,2028-08-30,500000,457500.87,Active
CARD000190,ACC000104,CUST000417,XXXX-XXXX-XXXX-1224,Debit,RuPay,2020-01-13,2025-01-13,0,0.0,Active
CARD000191,ACC000104,CUST000417,XXXX-XXXX-XXXX-8560,Credit,Visa,2020-03-24,2025-03-24,100000,30542.0,Active
CARD000192,ACC000105,CUST000443,XXXX-XXXX-XXXX-9165,Debit,RuPay,2024-03-11,2029-03-11,0,0.0,Active
CARD000193,ACC000105,CUST000443,XXXX-XXXX-XXXX-8736,Credit,Visa,2024-12-09,2029-12-09,200000,141831.35,Active
CARD000194,ACC000106,CUST000256,XXXX-XXXX-XXXX-7284,Debit,Visa,2021-04-17,2026-04-17,0,0.0,Active
CARD000195,ACC000107,CUST000358,XXXX-XXXX-XXXX-3236,Debit,Visa,2021-09-23,2026-09-23,0,0.0,Active
CARD000196,ACC000107,CUST000358,XXXX-XXXX-XXXX-5377,Credit,Visa,2022-06-23,2027-06-23,500000,381043.66,Active
CARD000197,ACC000108,CUST000116,XXXX-XXXX-XXXX-9022,Debit,Visa,2024-03-14,2029-03-14,0,0.0,Active
CARD000198,ACC000108,CUST000116,XXXX-XXXX-XXXX-9903,Credit,Mastercard,2025-01-11,2030-01-11,500000,379206.62,Active
CARD000199,ACC000109,CUST000150,XXXX-XXXX-XXXX-4090,Debit,RuPay,2024-06-09,2029-06-09,0,0.0,Active
CARD000200,ACC000109,CUST000150,XXXX-XXXX-XXXX-1715,Credit,Mastercard,2025-01-25,2030-01-25,500000,418253.14,Active
CARD000201,ACC000110,CUST000472,XXXX-XXXX-XXXX-7246,Debit,Mastercard,2020-08-04,2025-08-04,0,0.0,Expired
